r2,rmse,spearman,target,n_test
0.22038800792708602,1.0487084150310026,0.4684220956200095,O60885,88
-0.12293808041028487,0.7478744555116177,0.26295601050986694,Q06187,70
-0.42461066272963105,1.1304325971317706,0.17311590406289068,P03372,60
0.008275784456745039,1.4924808338287157,0.17317251414282128,P10275,58
0.47058084362263414,0.937037130538243,0.6690917217699969,P51531,58
-0.24373128901606708,0.9934610549279713,0.7786198554108612,P51532,38
-0.28863821248504284,0.8985702454223755,-0.33125497331585424,P00533,37
0.02802203042855504,0.943403590740599,0.4678054615709035,Q00534,30
-3.3414666157732484,0.8582550503946494,0.1652351748520807,P42229,30
0.13557600906357917,0.5340874622139221,0.5021621641172778,Q92793,23
-7.185463923523717,1.05747641234292,-0.07868997020737446,P04035,21
-0.9069105284487406,0.71048239333575,-0.6032602555613847,P50750,19
-0.5857366344851563,0.5771539186611444,0.26202681641098646,P15056,19
0.20764605060519856,0.5086276654399629,0.37323379807790297,Q09472,19
0.7049114372236321,0.6008106627619846,0.557635104649885,Q15059,18
0.2191021037008931,0.5311314304273909,0.5396847867120739,Q08881,18
-1.1243166361702341,0.7994829727398881,0.23341164051239746,Q07817,17
0.5167789666107623,0.8325331187389752,0.7104599415110542,P25440,16
-0.5863701106551445,1.3825779897597537,-0.3635026738329982,Q9UBN7,16
0.16866350219487125,0.8516884114402772,0.7550972327853414,P11802,16
-2.601732570805789,1.0397909702704393,0.14074460209966547,P01116,16
-0.19621539375047803,0.5635657687255549,0.008112173808444104,Q05397,14
-0.06037888431771162,0.756756173286087,0.5109383639497881,P43490,14
-1.9642767536857502,0.7665487261434949,-0.1429886417649241,P40763,13
0.47350183836693116,0.8170059186514238,0.8231107047535714,O15379,13
-1.1140902429050163,0.6478880857641013,-0.451203939756361,Q07889,13
-1.0100089210277707,0.9548091432816319,-0.06327378750628389,Q9BY41,13
-8.867982748297718,2.1056752537285726,0.4477699530516431,O43353,12
-0.5575071969404859,0.9654874062021618,0.10057507598159617,Q9UM73,12
-1.839782527320591,1.0686382266533843,-0.06526806526806528,P15170,12
-1.0237155108746778,1.3276109886865466,0.2830784638908135,Q9H8M2,10
-0.1475128633532954,0.6616316871484126,0.5876420255573959,Q16539,10
-9.059976572948477,2.5250436932746605,0.1505301410596138,O43924,10
-15.904195233688137,1.7338229071555802,0.4841598645187086,Q86WV6,10
