target,auroc
P10275,0.5254027010613379
P03372,0.5950893440913797
Q06187,0.7095335350479073
P01116,0.7059299577705064
P15056,0.7155900568729517
P51531,0.6472099120320465
P00533,0.7662490922294843
Q9NWZ3,0.8291666666666666
P51532,0.6458242556281771
P10636,0.5212865837865838
O60885,0.5905857846872936
P01116/P04049,0.8255982905982906
Q92793,0.8445701357466063
P14902,0.40682261208577003
Q07889,0.2514068189341278
Q92918,0.7491172316384181
Q92793/Q09472,0.9496268656716418
Q09472,0.9253472222222222
P36969,0.8098360655737705
Q13422,0.47845062738679767
P36888,0.6525054466230937
P17706,0.8567708333333334
Q9BY41,0.355787037037037
P18031,0.9454901960784313
P09874,0.34964726631393295
P36897,0.5051150895140665
Q00534,0.84
P11802,0.7710027100271004
P51531/P51532,0.7166372721928278
P50750,0.7921212121212121
Q02750,0.7289377289377289
O15379,1.0
P98170,0.5858585858585859
Q9UBN7,0.42731481481481487
P49336,0.5560675883256527
P43490,0.4012345679012346
Q9UM73,0.5370370370370371
P01116/Q07889,0.4681818181818182
P25440,0.8549257759784076
Q15059,0.7685185185185187
P37840,0.5476190476190476
Q06124,0.7718518518518517
P30530,0.9621212121212123
Q9NYV4,0.7290448343079922
P40337,0.6666666666666666
Q14004,0.6726190476190476
P06239,0.6637426900584795
P40763,0.3025210084033613
P24941,0.8952380952380953
P49840,0.8304093567251463
Q9Y2I7,0.5864197530864198
P33981,0.5599999999999999
Q08881,0.6
Q93009,0.7094017094017094
P08581,0.9722222222222222
P15170,0.5256410256410257
Q96SW2,0.23717948717948714
O60674,0.9444444444444445
Q9Y616,0.9444444444444443
Q5S007,0.9499999999999998
O75530,0.42857142857142855
Q16539,0.9166666666666666
P11474,0.5952380952380952
O43924,0.8148148148148148
O60760,0.7142857142857143
