target,auroc
P10275,0.5237975886388799
P03372,0.618473430759047
Q06187,0.7451685807850191
P01116,0.7331050000478131
P15056,0.7229417538335423
P51531,0.609260263160512
P00533,0.7558312569213732
Q9NWZ3,0.854383438054568
P51532,0.6544198555275867
P10636,0.5520117943256387
O60885,0.6008439257648118
P01116/P04049,0.8296222532844211
Q92793,0.8296488256549231
P14902,0.574945730547792
Q07889,0.3184350917544195
Q92918,0.8350158410138248
Q92793/Q09472,0.9471706591588726
Q09472,0.9106413459936699
P36969,0.8272051703086186
Q13422,0.55189012215175
P36888,0.6921695608839822
P17706,0.8533395630220942
Q9BY41,0.46758532143022863
P18031,0.9356435807939137
P09874,0.3107959012951273
P36897,0.5494018526276591
Q00534,0.8578406481283168
P11802,0.7542700305858201
P51531/P51532,0.7259788965166539
P50750,0.8035313406118135
Q02750,0.9332975832975833
O15379,1.0
P98170,0.5962575259989052
Q9UBN7,0.5684190809190809
P49336,0.5152192422307366
P43490,0.7158671802054156
Q9UM73,0.7982905982905982
P01116/Q07889,0.44871901977165135
P25440,0.8476282976282977
Q15059,0.7807559694578926
P37840,0.5149572649572649
Q06124,0.6916139416139416
P30530,0.9661162710698314
Q9NYV4,0.6982142857142856
P40337,0.7249287749287748
Q14004,0.5883838383838383
P06239,0.6257440476190477
P40763,0.40720390720390715
P24941,0.9641414141414142
P49840,0.9492063492063493
Q9Y2I7,0.7261904761904763
P33981,0.8054453262786597
Q08881,0.6398989898989899
Q93009,0.7268518518518517
P08581,1.0
P15170,0.29629629629629634
Q96SW2,0.12422839506172839
O60674,0.9814814814814815
Q9Y616,0.8452380952380952
Q5S007,0.9484126984126985
O75530,0.7222222222222222
Q16539,0.8555555555555555
P11474,0.6435185185185185
O43924,0.6666666666666666
O60760,0.7777777777777777
