target,auroc
P10275,0.8030941226370533
P03372,0.82074546476245
Q06187,0.8118658598083712
P01116,0.8613698017171463
P15056,0.7541148544438019
P51531,0.6352058130714257
P00533,0.8061683006535948
Q9NWZ3,0.8394916142557651
P51532,0.6773511256354393
P10636,0.6964193214193214
O60885,0.6119748005893411
P01116/P04049,0.847863247863248
Q92793,0.8480392156862746
P14902,0.5579922027290447
Q07889,0.346077457795432
Q92918,0.8707627118644067
Q92793/Q09472,0.9331467661691543
Q09472,0.9385850694444443
P36969,0.7814207650273225
Q13422,0.6025641025641025
P36888,0.7677015250544663
P17706,0.8602430555555557
Q9BY41,0.4872685185185186
P18031,0.9286274509803922
P09874,0.5498236331569665
P36897,0.5720375106564365
Q00534,0.8533333333333334
P11802,0.7151761517615176
P51531/P51532,0.6954732510288067
P50750,0.7769696969696969
Q02750,0.6446886446886446
O15379,1.0
P98170,0.5606060606060607
Q9UBN7,0.5263888888888888
P49336,0.4930875576036866
P43490,0.581275720164609
Q9UM73,0.84375
P01116/Q07889,0.4409090909090909
P25440,0.862348178137652
Q15059,0.7706552706552706
P37840,0.44940476190476186
Q06124,0.6903703703703704
P30530,0.970959595959596
Q9NYV4,0.8128654970760234
P40337,0.7697916666666668
Q14004,0.6646825396825397
P06239,0.4502923976608187
P40763,0.39495798319327724
P24941,0.8761904761904762
P49840,1.0
Q9Y2I7,0.5061728395061729
P33981,0.7766666666666667
Q08881,0.4619047619047619
Q93009,0.5641025641025642
P08581,0.9944444444444445
P15170,0.30128205128205127
Q96SW2,0.04487179487179485
O60674,0.9583333333333334
Q9Y616,0.9722222222222222
Q5S007,0.9
O75530,0.43809523809523815
Q16539,0.9166666666666666
P11474,0.2976190476190476
O43924,0.9629629629629629
O60760,0.873015873015873
