target,auroc
P10275,0.8309048514340485
P03372,0.8324947561089662
Q06187,0.8218434984036201
P01116,0.858697816655999
P15056,0.7440644726359013
P51531,0.6404022611830247
P00533,0.8138414905320319
Q9NWZ3,0.8580745088448684
P51532,0.6813650668023442
P10636,0.6616950757575758
O60885,0.6353997619820405
P01116/P04049,0.8391381071793443
Q92793,0.846460027100271
P14902,0.5546942291128337
Q07889,0.4746296296296297
Q92918,0.8884920634920634
Q92793/Q09472,0.9312169312169312
Q09472,0.9306172839506172
P36969,0.7861319966583125
Q13422,0.652093023255814
P36888,0.7771464646464646
P17706,0.8609427609427609
Q9BY41,0.554471544715447
P18031,0.9359513791491351
P09874,0.7875
P36897,0.572452636968766
Q00534,0.8356060606060606
P11802,0.7274774774774775
P51531/P51532,0.6607407407407407
P50750,0.7204545454545453
Q02750,0.7301587301587302
O15379,1.0
P98170,0.6091954022988506
Q9UBN7,0.5445665445665445
P49336,0.6049382716049383
P43490,0.5569444444444444
Q9UM73,0.8629807692307693
P01116/Q07889,0.4732510288065844
P25440,0.8276515151515151
Q15059,0.8424242424242424
P37840,0.551948051948052
Q06124,0.641025641025641
P30530,0.9777777777777779
Q9NYV4,0.7648809523809522
P40337,0.7546296296296297
Q14004,0.7242424242424242
P06239,0.5625
P40763,0.23076923076923075
P24941,0.8787878787878788
P49840,1.0
Q9Y2I7,0.8095238095238096
P33981,0.7857142857142857
Q08881,0.6767676767676768
Q93009,0.5555555555555556
P08581,1.0
P15170,0.5555555555555555
Q96SW2,0.22222222222222224
O60674,1.0
Q9Y616,1.0
Q5S007,0.888888888888889
O75530,0.6388888888888888
Q16539,0.9722222222222223
P11474,0.5925925925925927
O43924,0.5
O60760,0.8333333333333334
