target,auroc
P10275,0.5252383431176919
P03372,0.5958421246081477
Q06187,0.700138678769541
P01116,0.7097631233045277
P15056,0.7109992529400424
P51531,0.6341278396614365
P00533,0.7682007988380537
Q9NWZ3,0.8115041928721173
P51532,0.6426016702977487
P10636,0.5291213416213416
O60885,0.6059289742417314
P01116/P04049,0.8250000000000001
Q92793,0.8463800904977375
P14902,0.4284600389863548
Q07889,0.24925521350546176
Q92918,0.7764830508474576
Q92793/Q09472,0.9524253731343283
Q09472,0.9322916666666666
P36969,0.8451730418943534
Q13422,0.47790507364975454
P36888,0.6614923747276689
P17706,0.853298611111111
Q9BY41,0.35856481481481484
P18031,0.9345098039215687
P09874,0.29365079365079366
P36897,0.4202898550724637
Q00534,0.8262499999999999
P11802,0.7265582655826558
P51531/P51532,0.7107583774250442
P50750,0.8024242424242424
Q02750,0.6263736263736264
O15379,1.0
P98170,0.5875420875420875
Q9UBN7,0.5430555555555556
P49336,0.5652841781874041
P43490,0.3683127572016461
Q9UM73,0.7355324074074074
P01116/Q07889,0.48939393939393944
P25440,0.8522267206477734
Q15059,0.7727920227920227
P37840,0.6190476190476191
Q06124,0.7792592592592592
P30530,0.9696969696969697
Q9NYV4,0.7387914230019493
P40337,0.7145833333333332
Q14004,0.6607142857142857
P06239,0.652046783625731
P40763,0.2969187675070028
P24941,0.8761904761904762
P49840,0.9707602339181287
Q9Y2I7,0.7592592592592592
P33981,0.5266666666666667
Q08881,0.6523809523809524
Q93009,0.6068376068376068
P08581,0.9166666666666666
P15170,0.49358974358974356
Q96SW2,0.21153846153846154
O60674,0.923611111111111
Q9Y616,0.7222222222222223
Q5S007,0.9499999999999998
O75530,0.5142857142857142
Q16539,0.9166666666666666
P11474,0.6428571428571428
O43924,0.8888888888888888
O60760,0.7142857142857144
