target,n,prevalence,auroc,prauc,brier,balanced_acc,f1,mcc
O15379,43,0.23255813953488372,0.8848484848484848,0.8838095238095237,0.197928032655839,0.7227272727272727,0.5294117647058824,0.3789465377449694
O43924,10,0.1,0.4444444444444444,0.16666666666666666,0.18820877981117798,0.4444444444444444,0.0,-0.1111111111111111
O60674,14,0.42857142857142855,0.9166666666666667,0.9166666666666665,0.21859711649390157,0.6875,0.7058823529411765,0.45226701686664544
O60760,10,0.7,0.7619047619047619,0.9214285714285713,0.171413980844738,0.6904761904761905,0.7692307692307693,0.3563483225498992
O60885,162,0.5,0.5259868922420363,0.642720199345572,0.28985868515405405,0.4691358024691358,0.4819277108433735,-0.06180380006166808
O75530,12,0.4166666666666667,0.7142857142857143,0.5644444444444444,0.2341964042449526,0.7142857142857143,0.7142857142857143,0.4879500364742666
P00533,402,0.7611940298507462,0.8002110566448801,0.904984432983122,0.17395067101264425,0.7758374183006536,0.8939641109298532,0.5536668409352955
P01116,722,0.7590027700831025,0.7159367396593674,0.8687883372425831,0.18996762684175644,0.6596820203037167,0.8774635818337618,0.39055929747114676
P01116/P04049,139,0.7194244604316546,0.8157692307692308,0.9230446241093728,0.18025847910114792,0.657948717948718,0.8380952380952381,0.3492875153030751
P01116/Q07889,32,0.3125,0.44545454545454544,0.37649409849409854,0.5720982640437484,0.5181818181818182,0.47368421052631576,0.050964719143762556
P03372,1291,0.6537567776917118,0.5891581051136062,0.7144384249325624,0.22545510196409155,0.48933251693756163,0.773792443806791,-0.05594449752733121
P06239,25,0.76,0.631578947368421,0.8482186645255806,0.18314510590393415,0.5,0.8636363636363636,0.0
P08581,17,0.29411764705882354,0.7000000000000001,0.6625000000000001,0.20234612697924234,0.7,0.5714285714285714,0.565685424949238
P09874,57,0.3684210526315789,0.3558201058201058,0.3213843784679629,0.3463375391395777,0.33134920634920634,0.18181818181818182,-0.33164687249109753
P10275,1968,0.7672764227642277,0.5021429191127562,0.7937767350464745,0.22591319960736064,0.4547051678764568,0.7228094101602455,-0.08554589246925953
P10636,210,0.37142857142857144,0.49286130536130535,0.3490835788305132,0.3000515538928562,0.5221445221445222,0.5413533834586466,0.06987797494178165
P11474,11,0.36363636363636365,0.5357142857142857,0.573051948051948,0.23919208766518898,0.48214285714285715,0.2857142857142857,-0.03857583749052298
P11802,56,0.26785714285714285,0.7154471544715447,0.3967720524436903,0.28764706746039703,0.7715447154471544,0.6222222222222222,0.4822381977642871
P14902,109,0.1743119266055046,0.46374269005847957,0.1583522856819506,0.2245019256840029,0.41783625730994156,0.11764705882352941,-0.13689510303035052
P15056,606,0.8151815181518152,0.7090442452284558,0.9020902796204543,0.15721371701508982,0.5796341816078658,0.882466281310212,0.20398898080271366
P15170,17,0.23529411764705882,0.32692307692307687,0.21602564102564104,0.38846674485643656,0.5,0.38095238095238093,0.0
P17706,68,0.47058823529411764,0.8940972222222223,0.9218312417362841,0.11438513197572028,0.8767361111111112,0.8620689655172413,0.7738952239572342
P18031,59,0.423728813559322,0.9570588235294117,0.9424500096738486,0.07927124066825163,0.9505882352941176,0.9411764705882353,0.8969653425430084
P24941,22,0.3181818181818182,0.8857142857142858,0.8095238095238095,0.13172789762216877,0.5380952380952381,0.2222222222222222,0.12344267996967354
P25440,32,0.40625,0.9170040485829959,0.9285249908982158,0.16797122154445054,0.6983805668016194,0.6857142857142857,0.42040343769201144
P30530,28,0.21428571428571427,0.9810606060606061,0.9333333333333333,0.4103551690764145,0.5,0.35294117647058826,0.0
P33981,20,0.5,0.5800000000000001,0.582457264957265,0.233744002192183,0.7,0.7692307692307693,0.5
P36888,70,0.4857142857142857,0.7593954248366013,0.8162869241586517,0.21717704518436673,0.630718954248366,0.6486486486486487,0.2640393447937798
P36897,57,0.40350877192982454,0.5575447570332481,0.4363067534557046,0.24030885180029413,0.5,0.0,0.0
P36969,76,0.19736842105263158,0.7256830601092896,0.47059819961608435,0.21328730583124514,0.6355191256830601,0.41025641025641024,0.2320779294452085
P37840,30,0.5333333333333333,0.44419642857142855,0.6222443181818182,0.29613220984001337,0.38839285714285715,0.5,-0.236227795630767
P40337,26,0.38461538461538464,0.5531250000000001,0.4160714519921681,0.35532011369817584,0.7,0.6666666666666666,0.40904799405193093
P40763,24,0.2916666666666667,0.546218487394958,0.32681159420289857,0.2602877365571692,0.5168067226890756,0.4444444444444444,0.040996003084539386
P43490,36,0.5,0.42592592592592593,0.49890988154146054,0.2597311777772262,0.4166666666666667,0.3225806451612903,-0.17349447958987207
P49336,38,0.18421052631578946,0.5599078341013825,0.4397683397683398,0.17759371582947037,0.5,0.0,0.0
P49840,22,0.13636363636363635,0.8947368421052632,0.5,0.21437788931357282,0.47368421052631576,0.0,-0.08671099695241201
P50750,47,0.46808510638297873,0.7618181818181818,0.7166515561207006,0.2423409297269727,0.5963636363636364,0.4,0.25588641128019185
P51531,432,0.8402777777777778,0.6453068231724358,0.9082591529181302,0.26715226643723267,0.5986345670140136,0.7909090909090909,0.1559164317456706
P51531/P51532,48,0.5625,0.7583774250440917,0.8548356243011197,0.2690213704230428,0.611111111111111,0.7384615384615385,0.27144835701531844
P51532,271,0.4981549815498155,0.7010076252723312,0.6502918303647296,0.37065522780771487,0.5734749455337691,0.6963350785340314,0.25861368905252075
P98170,39,0.8461538461538461,0.4823232323232324,0.8765973033402499,0.4437399619481383,0.4015151515151515,0.43478260869565216,-0.15075567228888181
Q00534,57,0.5614035087719298,0.8368749999999999,0.8691984787906963,0.2700019547036651,0.67875,0.5833333333333334,0.39479270571757635
Q02750,46,0.15217391304347827,0.6043956043956044,0.4027430738681722,0.1956577856909091,0.5586080586080586,0.2222222222222222,0.20645590963700367
Q06124,30,0.5,0.74,0.7278292883387781,0.2341352181109699,0.5,0.0,0.0
Q06187,761,0.8685939553219448,0.6603933434190621,0.9212960245716233,0.23390558235063097,0.6267019667170953,0.8238213399503722,0.19069267046819444
Q07889,91,0.4175824175824176,0.36271102284011913,0.462307763388489,0.3449160805563765,0.39374379344587884,0.3076923076923077,-0.21115382462110752
Q08881,19,0.7368421052631579,0.5571428571428572,0.8062589408232927,0.2469838743758402,0.6571428571428571,0.7692307692307693,0.28690229202651557
Q09472,80,0.6,0.9505208333333333,0.9698052290764164,0.1159235095306883,0.7916666666666667,0.8679245283018868,0.6400104492354922
Q13422,73,0.3561643835616438,0.48608837970540103,0.34527720118098837,0.539071003443041,0.5253682487725041,0.5274725274725275,0.07777757794098734
Q14004,26,0.46153846153846156,0.6517857142857143,0.5215862840862842,0.2668691031075364,0.7142857142857143,0.75,0.50709255283711
Q15059,31,0.41935483870967744,0.7756410256410257,0.7762210012210011,0.2056742539129978,0.6346153846153846,0.625,0.27275027506971883
Q16539,12,0.5,0.4444444444444444,0.6471861471861472,0.26681546675307793,0.5833333333333334,0.2857142857142857,0.30151134457776363
Q5S007,13,0.23076923076923078,0.95,0.75,0.19605166159830928,0.85,0.6666666666666666,0.5916079783099616
Q92793,111,0.7657657657657657,0.8746606334841629,0.949115815719466,0.11425509521265406,0.793212669683258,0.8994082840236687,0.5788783930358115
Q92793/Q09472,83,0.8072289156626506,0.8922574626865671,0.9644776585794427,0.10507922874012113,0.8777985074626866,0.921875,0.675322731309198
Q92918,91,0.6483516483516484,0.7865466101694916,0.7975819200494634,0.1763084937233504,0.7857521186440678,0.8709677419354839,0.6040558538548163
Q93009,19,0.3157894736842105,0.7051282051282051,0.49242424242424243,0.2597526696131663,0.6025641025641025,0.5,0.19096396641051544
